kata_imbuhan,kata_dasar
menggatra, gatra
mengobor, obor
mengedepankan, depan
menyimpaikan, simpai
mengazankan, azan
menjalarkan, jalar
mempermandikan, mandi
menginsafkan, insaf
mengeklirkan, klir
menyiat, siat
menggerupukkan, gerupuk
membelengketkan, belengket
membetulkan, betul
menekap, tekap
memanjang, panjang
mengurap, urap
mengedrop, drop
melacut, lacut
menggeramkan, geram
menggelontor, gelontor
mengibai, iba
memiara, piara
merongos, rongos
mengantepi, antep
meraksi, raksi
mengerepas, kerepas
menjabat, jabat
mengomongkan, omong
melinyak, linyak
mencalo, calo
mendindingkan, dinding
membordir, bordir
mempertalikan, tali
menyanggul, sanggul
menyalai, salai
milikmu, milik
meregenerasi, regenerasi
menjotos, jotos
meratakan, rata
menyimbur, simbur
mengunggut, unggut
menginding, inding
menyerentakkan, serentak
mengerenyot, kerenyot
meranyah, ranyah
melekah, lekah
mengagakan, aga
melucut, lucut
mencakup, cakup
mengarsir, arsir
melegu, legu
membelungsing, belungsing
menyengkeling, sengkeling
mengaben, aben
menugasi, tugas
menggibang, gibang
mengeruk, keruk
meskipun, meski
memarodikan, parodi
memperbagai-bagaikan, bagai
mencocolkan, cocol
menjulat, julat
menampal, tampal
menggugupkan, gugup
memajankan, pajan
mengendap, endap
moralnya, moral
menentukan, tentu
menyepi, nyepi
memaraf, paraf
mengencang, encang
menyeruyuk, seruyuk
melunaskan, lunas
meremangkan, remang
mengundur, undur
mengatuskan, atus
mengklonakan, klona
menangkapkan, tangkap
mengilan, kilan
mengatus, atus
menggubah, gubah
merevitalisasi, revitalisasi
menepiskan, tepis
membrannya, membran
membelikan, beli
menggendaki, gendak
mendesah, desah
menggelegar, gelegar
menggendut, gendut
memerkarakan, perkara
menalang, talang
mempromosikan, promosi
memidi, midi
merintis, rintis
merazia, razia
mewisuda, wisuda
mengonan, konan
menggencet, gencet
mengarantina, karantina
menindas, tindas
menggebuk, gebuk
mengapteni, kapten
menceteng, ceteng
meling, ling
mencolokkan, colok
menjuakkan, juak
melayari, layar
memusingkan, pusing
mencebir, cebir
membahas, bahas
mengempoh, empoh
menghematkan, hemat
masalahnya, masalah
merubu, rubu
mencuru, curu
membancang, bancang
menggoyang, goyang
mengonversi, konversi
memperembukkan, rembuk
menelaah, telaah
mempercantik, cantik
mendetak, detak
mengagulkan, agul
mengupa, upa
menumpu, tumpu
menyerepi, serep
melakukannya, laku
menggiringnya, giring
meramalkan, ramal
melicinan, licin
menunggalkan, tunggal
mencelapaki, capak
memperenggang, enggang
mengomandani, komandan
memeperlukan, perlu
melurus, lurus
membakat, bakat
menjudikan, judi
melamarnya, lamar
menyeduh, seduh
memalamkan, malam
mengguntung, guntung
menimbali, timbal
menanjur-nanjur, tanjur
menauri, taur
mempergauli, gaul
menyelatkan, selat
mengeksamen, eksamen
mengerakkan, erak
meyakinkan, yakin
mengintrospeksi, introspeksi
menenderkan, tender
mempergiat, giat
meluyut, luyut
memperniagakan, niaga
menyalep, salep
menaplaki, taplak
menengah, tengah
menyerbu, serbu
menyengker, sengker
menamyizkan, tamyiz
menyempitkan, sempit
menyosialisasi, sosialisasi
merenggang, renggang
mabul-mabul, mabul
memetalkan, metal
membuatkan, buat
meriung, riung
membelalangkan, belalang
mengekor, ekor
menggotong, gotong
memalaki, palak
mengerami, rami
menggolongkan, golong
merangkaki, rangkak
mengimpit, impit
menancapkan, tancap
mempertimbangkannya, timbang
membatasi, batas
menyesarkan, sesar
menonggokkan, tonggok
mengecor, cor
meracun, racun
menyelara, selara
mendemik, demik
mengawai, awai
melumangkan, lumang
menyegak, segak
menyelesaikan, selesai
mendaftar, daftar
mengerapkan, kerap
memasarkan, pasar
mencandui, candu
memasak, masak
menyegel, segel
mengubrakan, kubra
menyentak, sentak
menenteng, tenteng
menggalibkan, galib
meneriakkan, teriak
mengundai, kundai
mengeropeng, keropeng
memasungkan, pasung
mendaerah, daerah
memprakarsai, prakarsa
mengacak, acak
menyelingar, selingar
mendeklamasikan, deklamasi
melancur, lancur
menanya, mena
menggari, gari
mengimbali, imbal
mempertakut, takut
memperkuda-kudakan, kuda
mengesol, sol
menekapkan, tekap
melauti, laut
menyelipkan, selip
mengocak, kocak
meratib, ratib
memfanakan, fana
merenyuk, renyuk
mengulum, kulum
mengenap, enap
merasiankan, rasian
membelitkan, belit
memberitakan, berita
menegur, tegur
menyesatkan, sesat
menciak-ciak, ciak
meruntih, runtih
mengkada, kada
mengungkai, ungkai
mengemat, emat
mencatat, catat
melajukan, laju
mengooptasi, kooptasi
menjelma, jelma
menggodot-godot, godot
memantang, pantang
memalun, malun
menenok, tenok
menggosipkan, gosip
mengeset, keset
menyorakkan, sorak
mempesertakan, serta
menyelakan, sela
mempertiga, tiga
membumbun, bumbun
menjejakkan, jejak
menyerahkan, serah
mengesup, kesup
melejang, lejang
menyandiwarakan, sandiwara
menempong, tempong
melimpahi, limpah
menengil, tengil
mementingkan, penting
mengatasi, atas
menggado, gado
meranting, ranting
memadai, pada
menggapil, gapil
memperdewa, dewa
malar-malar, malar
memperlanggarkan, langgar
melancong, lancong
memandang, pandang
menepuk, tepuk
menyempali, sempal
mengirapkan, kirap
menularkan, tular
menghalakan, hala
mendiskusikan, diskusi
mendamak, damak
membacang, bacang
merenungi, renung
mengaca, kaca
mengungsikan, ungsi
menyinergikan, sinergi
menyembir, sembir
memisit, pisit
mencolot, colot
melupai, lupa
mempermalamkan, malam
menyembuhkan, sembuh
memperdamaikan, damai
mengelap, kelap
memperapat, rapat
meluputkan, luput
menggagas, gagas
memarahkan, marah
menyiulkan, siul
mengaoki, kaok
menyaru, saru
memacak, pacak
menyekap, sekap
memahalkan, mahal
menghujat, hujat
meretak, retak
memperadabkan, adab
mengganjali, ganjal
membungkuk, bungkuk
menjengul, jengul
merampaikan, rampai
memanjatkan, panjat
menyulingkan, suling
membenam, benam
menggunakan, guna
memprotes, protes
menggandeng, gandeng
merekam, rekam
mengganjakkan, ganjak
melayut, layut
menyingkir, singkir
mempersaingkan, saing
mendulang, dulang
mereformasi, reformasi
mengeluarkannya, keluar
menetapkan, tetap
menjepit, jepit
memperelok, elok
menegosiasi, negosiasi
mendenging, denging
menakhodai, nakhoda
menujumkan, nujum
mengadang-adangi, adang
mengilang, kilang
membetuli, betul
menempelakkan, tempelak
memerkosa, perkosa
mendepakan, depa
merogok, rogok
mengapsulkan, kapsul
menyundak, sundak
mengamukkan, amuk
menenteramkan, tenteram
menyanjung-nyanjungkan, sanjung
menyerbukan, serbu
mempercekcokkan, cekcok
menyamping, samping
melambat, lambat
menyekop, sekop
memperselendangkan, selendang
membujuki, bujuk
mencoaki, coak
mempererat, erat
memecal, pecal
mengulemi, ulem
merelang, relang
menuai, tuai
menyentengi, senteng
menyanggep, sanggep
melangsar, langsar
meruncing, runcing
mengadas, adas
menggairahkan, gairah
melayam, layam
menyekolahkan, sekolah
mengimbau, imbau
mendeteksi, deteksi
menyandari, sandar
melagak, lagak
menjual, jual
menajiskan, najis
memarit, parit
minimalis, minimal
membenar, benar
merepet, repet
menyederajatkan, derajat
mengklarifikasi, klarifikasi
menguliti, ulit
memirik, mirik
menghebohkan, heboh
mengacah, acah
memanggilkan, panggil
menginisiasi, inisiasi
menggayutkan, gayut
melebih-lebihi, lebih
menggencarkan, gencar
menggeremet, geremet
menyikukan, siku
menjerahap, jerahap
mencekuh, cekuh
meremas-remas, remas
mengerumuni, kerumun
melekati, lekat
mayatnya, mayat
mengotai, kotai
membarter, barter
menggandengkan, gandeng
mengintrusi, intrusi
mengerikiti, kerikit
mengabung, kabung
menempelak, tempelak
menggerisik, gerisik
menyisih, sisih
menggumpal, gumpal
muridnya, murid
marah-marah, marah
menelutut, telutut
mengorupsi, korupsi
menapak, tapak
melentikkan, lentik
memanasi, panas
melengahkan, lengah
menaki, taki
membaksi, baksi
menganan, kan
merewet, rewet
mempertaruhkan, taruh
menyabuni, sabun
mewaralabakan, waralaba
membujuk, bujuk
menjumputi, jumput
menafikan, nafi
mengimak-imak, imak
mengerlap, kerlap
menguratori, kurator
menyurukkan, suruk
mengkhalayak, khalayak
menggelugut, gelugut
memisahkan, pisah
meminda, pinda
memperlepas, lepas
menggenggamkan, genggam
meleluasakan, leluasa
mengapakan, mengapa
menjuluk, juluk
merisaukan, risau
menira, nira
memencar, pencar
merobok, robok
membutir, butir
mengejang, kejang
merasa, rasa
menyosor, sosor
menimbuk, timbuk
menyelendangkan, selendang
memformulasikan, formulasi
memperaman, peram
meratapi, ratap
memperteguhkan, teguh
memperyahudikan, yahudi
melaminasi, laminasi
menjelejeh, jelejeh
membeka, beka
menganggul, anggul
menumpuk, tumpuk
menyerkap, serkap
meraja, raja
memeriksakan, periksa
memotongkan, potong
melatahkan, latah
mengirimkan, kirim
mengisyaratkan, isyarat
menggigiti, gigit
menitipkan, titip
mendemonstrasi, demonstrasi
mengunjukkan, unjuk
mengonsultasikan, konsultasi
mencocor, cocor
mengontraksikan, kontraksi
membilai, bilai
mencairkan, cair
memakmurkan, makmur
melaksanakannya, laksana
menyiasati, siasat
memecut, pecut
menyirih, sirih
meraut, raut
memfermentasi, fermentasi
menyentak-nyentak, sentak
merumputi, rumput
melangsingkan, langsing
meretas, retas
merubung, rubung
merendah, rendah
merompes, rompes
menelusuri, telusur
mengobralkan, obral
menggalangi, galang
merabit, rabit
mencengkamkan, cengkam
menentangku, tentang
memvariasikan, variasi
meninabobokan, ninabobo
menggerak-gerakkan, gerak
memepeti, peti
merempah, rempah
mengunggis, unggis
membukit, bukit
menyonyor, nyonyor
mencacati, cacat
mengeris, keris
mendiktekan, dikte
mengisukan, isu
mengapam, apam
menyelir, selir
membantun, bantun
menusuk, tusuk
mengamangkan, amang
memingit, pingit
menyedangkan, sedang
menyusunnya, susun
meragukan, ragu
merealisasi, realisasi
meminjam, pinjam
mempermasalahkan, masalah
mencaing-caing, caing
maknanya, makna
menggandar, gandar
mengetap, ketap
memujut, pujut
mengisbatkan, isbat
mengatupkan, katup
membunuh, bunuh
memandai-mandai, mandai
megahnya, megah
membabitkan, babit
mengusapkan, usap
menubikan, tubi
menumpahkan, tumpah
mendengking-dengking, dengking
menghidangkan, hidang
mengantari, antari
menembusi, tembus
mengonter, konter
mengopeni, open
melolong, lolong
mencongakkan, congak
memipihkan, pipih
menggodot, godot
mengogok, ogok
menelurkan, telur
mencutikan, cuti
membawahi, bawah
menarang, tarang
mengilah, mengi
memongahkan, pongah
menyegarkan, segar
mengesah, kesah
menggempita, gempita
mempertetap, tetap
memarasit, parasit
menerobos, terobos
mencekah, cekah
membungkusi, bungkus
memalsu, palsu
merentapkan, rentap
mengorting, korting
memalis, mal
mengiritasi, iritasi
melampang, lampang
mengharu, haru
menggetok, getok
melangsi, langsi
menganggapnya, anggap
mengiyakan, iya
memperfasih, fasih
memerihkan, merih
mendagangkan, dagang
memangkah, memang
mencema, cema
memperlamakan, lama
menggerenik, gerenik
menelinga, telinga
mencuar, cuar
menggelang, gelang
merotok, rotok
mengagresi, agresi
mengatai, katai
mengikalkan, ikal
mengumpak-umpak, umpak
memplombir, plombir
membolot, bolot
menggeledang, geledang
melantaskan, lantas
mempertarungkan, tarung
memoleskan, moles
meniarapkan, tiarap
mencantumkan, cantum
mengurusinya, urus
mengidah, idah
memegat, megat
mendustai, dusta
menyerendeng, serendeng
menguncup, kuncup
mempersandangkan, sandang
meletak, letak
menisik, tisik
mengkreatifkan, kreatif
menyumba, sumba
mengerosok, kerosok
menyembam, sembam
menurap, turap
memesona, pesona
mengutik-ngutik, utik
menyirapkan, sirap
mengarihkan, arih
mengabjadkan, abjad
menyanyah, nyanyah
memuncrat, muncrat
menyengkelangkan, sengkelang
mendamari, damar
menyanglingkan, sangling
mengutuhkan, utuh
menatapnya, tatap
menundakan, tunda
menamui, tamu
mengalap, alap
menggundulkan, gundul
menghasratkan, hasrat
mencebok, cebok
menggoda, goda
mendera, dera
mencanak, canak
mempertetapkan, tetap
menunasi, tunas
memerinci, perinci
menzarah, zarah
merekonstruksi, rekonstruksi
mendinamitkan, dinamit
menunggu, tunggu
menghadiri, hadir
menyepit, sepit
mempersetan, set
melempengkan, lempeng
mengiktikadkan, iktikad
mewatasi, watas
memperlengah, lengah
mengkawan, kawan
memugar, pugar
mencambukkan, cambuk
menyusul, susul
menyelembana, selembana
mengudiankan, kudian
merelas, relas
mencabau, cabau
mobil-mobilan, mobil
melandai, landai
mengenkripsi, enkripsi
mengusil-usil, usil
memolisikan, polisi
menghobatkan, hobat
mengagendakan, agenda
mengagih, agih
membenalu, benalu
memanas, panas
mematangkan, matang
menginai, inai
menyekutukan, sekutu
mengeping, keping
mencekak, cekak
meretih, retih
menikai, tikai
mengirim, kirim
merambahi, rambah
menanggalkan, tanggal
memitar, pitar
menggeser, geser
mudahan, mudah
melengkungkan, lengkung
mendampingkan, damping
membelongsongi, belongsong
merembukkan, rembuk
melintangkan, lintang
menumpurkan, tumpur
memanas-manasi, panas
menjunjung, junjung
menjawabnya, jawab
menyakiti, sakit
mengejawantahkan, ejawantah
merespons, respons
mendamba, damba
majalahnya, majalah
menggeneralisasi, generalisasi
menyunat, sunat
meramban, ramban
menjamur, jamur
mencatutkan, catut
mencatut, catut
mengempohi, empoh
mengader, kader
mengomersialkan, komersial
meradangkan, radang
memayang, mayang
makai, maka
memaling, maling
merusaki, rusak
menguar-nguarkan, uar
mengajangi, ajang
memarginalkan, marginal
mengoptimumkan, optimum
menggelinting, gelinting
mengabstraksikan, abstraksi
memadamkan, madam
mengartukan, kartu
menyelaraskan, selaras
mengirasi, iras
membekas, bekas
mandikan, mandi
menjengkelkan, jengkel
mencicipi, cicip
menjarangkan, jarang
menyanggah, sanggah
mengocongkan, kocong
mendudur, dudur
merepatriasi, repatriasi
melangkahkan, langkah
merahasiakan, rahasia
mengotak, otak
mengaus, aus
menasabah, nasabah
melelahkan, lelah
mencarik, carik
mengepuh, kepuh
mengebiskan, bis
melayap-layapkan, layap
memperingan, pering
menyebati, bati
menyudi, sudi
mengarib, karib
mengodol, odol
melubangi, lubang
menyunamkan, sunam
menyurat, surat
memperbiar, biar
merangkakan, rangka
mempraperadilankan, praperadilan
mensyariatkan, syariat
membuntuti, buntut
mengemping, emping
menahani, tahan
memeruti, merut
menyandakan, sanda
menjawat, jawat
mendialogkan, dialog
merambang, rambang
mencolok, colok
meneladani, teladan
mendeponir, deponir
menganggukkan, angguk
mengontan, kontan
mengamuk, amuk
membelendung, belendung
mengajukan, aju
menajak, tajak
menggeratkan, gerat
menyeterika, terika
mengibakan, iba
menunda-nunda, tunda
mengakalkan, akal
menyebalkan, sebal
melumpukkan, lumpuk
mengherankan, heran
menjembak, jembak
mengecaskan, cas
meledakkan, ledak
mempergantungi, gantung
merambut, rambut
membilang, bilang
menanjung, tanjung
melantas, lantas
menyekakan, seka
memancit, pancit
mengabur, abur
menggitik, gitik
memperbagus, bagus
menyucikan, suci
mengayut, ayut
menjolok, jolok
mengena, kena
menaruh, taruh
meratah, ratah
menerau, terau
menghiruk, hiruk
menjompak, jompak
mengaum-aum, aum
menempap, tempap
menggemuk, gemuk
membasikan, basi
mengasapi, asap
menghitung, hitung
mengeruntungkan, keruntung
meningratkan, ningrat
menodongkan, todong
menggelekkan, gelek
menjejal, jejal
membentangi, bentang
menampel, tampel
melincir, lincir
memampat, mampat
muatkan, muat
mencerahi, cahi
mengerokoti, kerokot
membondot, bondot
menugal, tugal
mengembeng, kembeng
mengekar, kekar
menyahaja, sahaja
merengeng-rengeng, rengeng
memantulkan, pantul
memanggangnya, panggang
mematokkan, patok
menjinjingkan, jinjing
menggerantak, gerantak
mematut, patut
merendengkan, rendeng
mengunjungi, unjung
menggerepes, gerepes
menyelinapkan, selinap
menganjungkan, anjung
mengerem, rem
mendecur, decur
menerbankan, terban
menjerauskan, jeraus
menyauk, sauk
melekuknya, lekuk
menjuntai, juntai
mencahar, cahar
melemparkannya, lempar
mengericau, kericau
menudungkan, tudung
menganvaskan, kanvas
membual, bual
mengganda, ganda
memformulasi, formulasi
menekuni, tekun
mengastrasi, kastrasi
malangnya, malang
mengubit, ubit
merempah-rempahi, rempah
menggenggam, genggam
menyalang, nyalang
menggondokkan, gondok
mempersuatukan, suatu
mencoleknya, colek
mengakomodasikan, akomodasi
menakung, takung
melayak, layak
mencagun, cagun
menjerongkong, jerongkong
merawatnya, rawat
melesot, lesot
memblokir, blokir
menahnik, tahnik
mengundangkan, undang
menyawar, sawar
menyua, sua
menyelendang, selendang
malas-malasan, malas
merenjong, renjong
mengganjalkan, ganjal
menceduk, ceduk
menumbuhkan, tumbuh
menggobek, gobek
melempang, lempang
merentakkan, rentak
memperantarai, antara
menyeba, seba
menyibur, sibur
mengesakkan, esak
memintai, pinta
memunggah, punggah
menjumlah, jumlah
menanwinkan, tanwin
mengintimidasi, intimidasi
menetakkan, tetak
mengaktualisasikan, aktualisasi
mengekalkan, kekal
mencangam, cangam
mengobori, obor
meramus, ramus
menyandung, sandung
mengagetkan, kaget
memprogram, program
merampingkan, ramping
memocok, pocok
mobilku, mobil
menyatukan, satu
mengincitkan, incit
memepet, mepet
mengembang, kembang
mengentar, entar
menggaok, gaok
menatangkan, natang
menganga, nganga
menautkan, taut
menyelamkan, selam
mendebik, debik
memuncak, puncak
memperhinggakan, hingga
mengaci-acikan, aci
menghirup, hirup
menginterpretasikan, interpretasi
mengamputasi, amputasi
membanding, banding
menconet, conet
mengenes, enes
mensmokel, smokel
membongkar, bongkar
menyengar, sengar
meresosialisasi, resosialisasi
mengkultuskan, kultus
mencerucup, cerucup
menyipilkan, sipil
memikirkannya, pikir
mengazab, azab
membiji, biji
mendahulukan, dahulu
mengonggokkan, onggok
mendamparkan, dampar
membalurkan, balur
meliar, liar
mengegosi, egos
mengoplos, oplos
mengunggunkan, unggun
mengemudikan, kemudi
memakainya, maka
menjagokan, jago
mengefisienkan, efisien
mempermanis, man
mencabut, cabut
mengumpet, umpet
menumpur, tumpur
mengampas, ampas
menggemburkan, gembur
menghirap, hirap
menjangkit, jangkit
memperbinikan, bini
menyabun, sabun
melingkungi, lingkung
menghilir, hilir
meneropongi, teropong
menelanjangi, telanjang
mematar, patar
menggelasir, gelasir
meyakin-yakini, yakin
menggerutuk, gutuk
mengertangkan, kertang
merosok, rosok
mengumaikan, kumai
mengayau, kayau
mendengungkan, dengung
membudaya, budaya
mengkatalisasi, katalisasi
menyunyut, nyunyut
melampan, lampan
menggarut, garut
menggading, gading
markasnya, markas
menyirihkan, sirih
mengalah, kalah
mengklaim, klaim
melapik, lapik
melansirkan, lansir
menampalkan, tampal
menyerbukkan, serbuk
meluluhkan, luluh
membanggakan, bangga
menghinggapi, hinggap
mengelilingi, keliling
menajuk, tajuk
mendiskualifikasi, diskualifikasi
memperimpit, impit
mencakapi, cakap
menyuruti, surut
menunggangkan, tunggang
mengangkat-angkat, angkat
mengualifikasikan, kualifikasi
memilah, mem
menyilet, silet
mengkirap, kirap
mengandungi, kandung
menaklukkan, takluk
mencamuk, camuk
menyebelahi, bah
mengguit-guit, guit
mengausi, aus
membinjat, binjat
mengantup, antup
menumplakkan, tumplak
merombong, rombong
mereknya, merek
menumbukkan, tumbuk
memermak, permak
mengakibatkan, akibat
memiutangkan, piutang
mengepalkan, kepal
melarih, larih
menggelepur, gelepur
menginjeksikan, injeksi
menemani, tani
membanjar, banjar
menyiang, siang
menuba, tuba
menitahkan, titah
melontari, lontar
mengelamkan, kelam
menggonggongi, gonggong
menyingkapi, singkap
merehabilitasikan, rehabilitasi
mengaksentuasi, aksentuasi
mengesel, kesel
memanjangkan, panjang
mempersambungkan, sambung
mengadvokasi, advokasi
membungai, bunga
merahap, rahap
menggogok, gogok
membelah, belah
memasok, pasok
menabok, tabok
mengorelasikan, korelasi
memperkecualikan, kecuali
menangkiskan, tangkis
membusur, busur
memeper, peper
mencupak, cupak
misalkan, misal
memapras, papras
melusuhkan, lusuh
menentangkan, tentang
melaburkan, labur
mendengu, dengu
menggelingsirkan, gelingsir
mengonfirmasi, konfirmasi
mengelocak, kelocak
menyemburkan, sembur
mementing, penting
merasan, ras
merepresentasikan, representasi
menjijikkan, jijik
mendaerahkan, daerah
memaksa, paksa
mengempap, empap
membarui, baru
menjuruskan, jurus
membusa, busa
membesit, besit
membelot, belot
mengendusi, endus
merengut, rengut
mengkastrasi, kastrasi
menggeluti, gelut
mewujudkan, wujud
mendril, dril
merenangi, renang
melusuh, lusuh
mengevaluasi, evaluasi
mempertinggi, tinggi
menguar, uar
melegenda, legenda
memidatokan, pidato
memfirmankan, firman
menyekutui, sekutu
mengendon, endon
mengejap, kejap
mengotori, kotor
membengkokkan, bengkok
menyelamatkan, selamat
menggamak-gamak, gamak
mengurai, urai
memundi-mundi, pundi
melengah-lengah, lengah
mengasalkan, asal
mengepot, kepot
menalak, talak
merampat, rampat
menyisik, sisik
menelangkai, telangkai
mendelegasikan, delegasi
mengulik, ulik
menakzirkan, takzir
mengulit, ulit
menghangus, hangus
menyimpang, simpang
menyunati, sunat
memerlukan, perlu
menyungkupi, sungkup
menancang, tancang
menyejarah, sejarah
mengimbuhi, imbuh
mencengangkan, cengang
memberentang, berentang
memarakan, mara
merata, rata
mengawuri, awur
menghandam, handam
mengekir, kir
membantahkan, bantah
menyetempel, setempel
menyembul, sembul
menunggal, tunggal
menggamik, gamik
memperawak, awak
mengudeta, kudeta
mengudarkan, udar
melalaikan, lalai
mengeti, keti
menelannya, tel
meregat, regat
muatannya, muat
makian, maki
membabar, babar
membongkar-bongkar, bongkar
menabiri, tabir
menjamakkan, jamak
menyeringkan, sering
mengejawantah, ejawantah
mematut-matut, patut
menyajakkan, sajak
meramping, ramping
menyaur, saur
memeragakan, meraga
menciut, ciut
membelek, belek
menamparkan, tampar
melinyar, linyar
mengingari, ingar
menanah, nanah
mengitik-ngitik, itik
melesit, lesit
menerumkan, terum
menyepitkan, sepit
menyikapi, sikap
memesatkan, pesat
mengibaratkan, ibarat
menyarikan, sari
menyala, nyala
menyengihkan, sengih
memperjuangkan, juang
menghukumnya, hukum
memperlurus, lurus
melenggak, lenggak
mengobservasi, observasi
memersuasi, persuasi
menyajak, sajak
memegalkan, pegal
menggites, gites
menyengaukan, sengau
membengkung, bengkung
menenangkan, tenang
mengelakkan, elak
memukat, pukat
mengetop, top
membelalakkan, belalak
merembet, rembet
menyanyikan, nyanyi
merambakkan, rambak
menembuk, tembuk
menyujikan, suji
meminumi, minum
mengebuti, ngebut
mengupih, upih
menyaluti, salut
menyetrika, setrika
menumpas, tumpas
menyertakan, serta
merintang, rintang
memperalati, ralat
mengodifikasikan, kodifikasi
menyebat, sebat
melumurkan, lumur
mendestabilisasi, destabilisasi
membimbing, bimbing
mengulur-ulur, ulur
meremajakan, remaja
menemukan, temu
menyukakan, suka
mengares, ares
mengimbas, imbas
menjumpai, jumpa
memperundungkan, rundung
melampiaskan, lampias
mempersangkutkan, sangkut
meniru-niru, tiru
menonong, nonong
menyetelengkan, seteleng
memarinade, marinade
mencabuti, cabut
menonjok, tonjok
mereta-reta, reta
mentros, tros
memperhentikan, henti
menyara, sara
menghinggakan, hingga
mencibirkan, cibir
menyurihkan, surih
meninjukan, tinju
menaburi, tabur
melekatnya, lekat
menyayat-nyayat, sayat
mengerutkan, kerut
melais, lais
mencapai, capai
mengutangkan, utang
mengagak-agak, agak
menghunuskan, hunus
merurut, rurut
masapi, masap
memuramkan, muram
mendupak, dupak
merapun, rapun
membedel, bedel
membelahak, belahak
mengantongkan, kantong
membabi, babi
mengidam, idam
membantalkan, bantal
mengonstatasi, konstatasi
membawa-bawa, bawa
menyulamkan, sulam
mempertanggungkan, tanggung
mencocoki, cocok
mencekukan, ceku
memurungkan, murung
mengasisteni, asisten
mencalitkan, calit
mempercakapkan, cakap
menyeser, seser
menghadiahkan, hadiah
mendadak, dadak
memasap, masap
menggonyeh, gonyeh
memarkir, parkir
mengalami, alami
membingas, bingas
menyokomkan, sokom
menalarkan, nalar
menghajikan, haji
merumuk, rumuk
memotong-motong, potong
merecoki, recok
menyebutkan, sebut
memada-madai, mada
mengkhianat, khianat
memencak, mencak
mengangsurkan, angsur
menembang, tembang
menungkup, tungkup
menyanding, sanding
menyeluk, seluk
mengila, kila
mencampakan, campa
mengebor, bor
mencangking, cangking
melarikan, lari
mengusut, usut
menimbulkan, timbul
melihatkan, lihat
menyalahkan, salah
membadik, badik
merindukan, rindu
merentikan, renti
mendekat, dekat
memanaskannya, panas
mempersumpahkan, sumpah
mendekami, dekam
menggemai, gai
membasung, basung
memerangkap, perangkap
meresek, resek
mempertebal, tebal
mencurat, curat
mengaduh, aduh
memetakan, meta
menyamuni, samun
memihak, pihak
menengking, tengking
membelakang, belakang
mengoperasi, operasi
menanamnya, tanam
merangkaikan, rangkai
mengangut, angut
mengelompokkan, kelompok
menjerumuskan, jerumus
mengeliminasikan, eliminasi
mendendam, dendam
mengulasi, ulas
mengenaskan, enas
menzikirkan, zikir
menakah, mena
menggelebar, gelebar
mengacunya, acu
menjajaki, jajak
mengedrel, drel
menyirami, siram
mengendapkan, endap
meribut, ribut
mengogok-ogok, ogok
menekan, tekan
mengeker, keker
mengudari, udar
mempersatai, satai
memula, mula
mendiani, ani
menyelenting, selenting
mengaung, aung
membubuti, bubut
mengemaskan, emas
mendetar, detar
mengimkan, kim
menjenaki, jenak
merandungkan, randung
mengasinkan, asin
mendegam, degam
menjalang, jalang
mentransformasikan, transformasi
merelakan, rela
membuang, buang
menghidu, hidu
merumahkan, rumah
mengadabi, adab
menyangkarkan, sangkar
memperkawan, kawan
mencabangkan, cabang
maninya, mani
menzalimi, zalim
memengos, pengos
menggetik, getik
menyemai, semai
membobol, bobol
mengetok, ketok
memutakhirkan, mutakhir
memperutangkan, utang
menuriang, turiang
memunggungkan, punggung
mengangka, angka
menyengat, sengat
membongmeh, bongmeh
menjara, jara
menjiplak, jiplak
menyuratkan, surat
mencina, cina
mendungas, dungas
mengancaikan, ancai
mengantarai, antara
memperladangkan, ladang
menyerap, serap
menyerbak, serbak
meredamkan, redam
melunasi, lunas
menjeritkan, jerit
mendegil, degil
menjahar, jahar
menyelaput, selaput
menggarung, garung
meranda, randa
memperbantahkan, bantah
menyerkah, serkah
membelontang, belontang
mengaramkan, aram
mendolarkan, dolar
mencilok, cilok
menyodok, sodok
melimut, limut
menjengek, jengek
mengalahkan, kalah
mendewasakan, dewasa
menubrukkan, tubruk
mendrel, drel
menyedekahi, dekah
mengagut-agut, agut
mengganjur, ganjur
menutuli, tutul
mengungkung, kungkung
mengepilkan, kepil
menyempit, sempit
menuhankan, tuhan
merapi, rapi
menjahanamkan, jahanam
memelukkan, peluk
mengesisikan, sisi
mengentakkan, entak
mempertegas, tegas
mengawaskan, awas
mengingusi, ingus
mempersedikitkan, sedikit
mengimpus, kimpus
menyuji, suji
mengkritik, kritik
melumpuhkan, lumpuh
merangkak-rangkak, rangkak
menggaritkan, garit
menggodok, godok
memekuk, pekuk
menggaduk, gaduk
mentul-mentul, mentul
membatang, batang
memudik, mudik
memersenkan, persen
menanang, nanang
membuih, buih
menjabal, jabal
melanggengkan, langgeng
mengasadkan, asad
meruntuhkan, runtuh
mengancang-ancang, ancang
memperselir, selir
melinting, linting
melawak-lawak, lawak
mening, ning
mengajari, ajar
merajang, rajang
merindingkan, merinding
memperbudak, budak
meluap, luap
melembungkan, lembung
mempresentasikan, presentasi
mengeras, keras
menyetrap, setrap
mengendurkan, kendur
menyenak-nyenak, senak
menyinggahkan, singgah
mengedikkan, kedik
mengumandang, kumandang
membendi, bendi
menghanyutkan, hanyut
mengacip, kacip
melandung, landung
mementang, mentang
memperganduh, ganduh
menambahkan, tambah
mengalupi, alup
mensyarikat, syarikat
mendatukkan, datuk
mempertangguhkan, tangguh
